file,missing_value,month,unit,year
gpcp_1dd_v1.2_p1d.200508_monthlyAverage.npy,-99999.,08,mm/day,2005
gpcp_1dd_v1.2_p1d.200509_monthlyAverage.npy,-99999.,09,mm/day,2005
gpcp_1dd_v1.2_p1d.200510_monthlyAverage.npy,-99999.,10,mm/day,2005
gpcp_1dd_v1.2_p1d.200511_monthlyAverage.npy,-99999.,11,mm/day,2005
gpcp_1dd_v1.2_p1d.200512_monthlyAverage.npy,-99999.,12,mm/day,2005
gpcp_1dd_v1.2_p1d.200601_monthlyAverage.npy,-99999.,01,mm/day,2006
gpcp_1dd_v1.2_p1d.200602_monthlyAverage.npy,-99999.,02,mm/day,2006
gpcp_1dd_v1.2_p1d.200603_monthlyAverage.npy,-99999.,03,mm/day,2006
gpcp_1dd_v1.2_p1d.200604_monthlyAverage.npy,-99999.,04,mm/day,2006
gpcp_1dd_v1.2_p1d.200605_monthlyAverage.npy,-99999.,05,mm/day,2006
gpcp_1dd_v1.2_p1d.200606_monthlyAverage.npy,-99999.,06,mm/day,2006
gpcp_1dd_v1.2_p1d.200607_monthlyAverage.npy,-99999.,07,mm/day,2006
gpcp_1dd_v1.2_p1d.200608_monthlyAverage.npy,-99999.,08,mm/day,2006
gpcp_1dd_v1.2_p1d.200609_monthlyAverage.npy,-99999.,09,mm/day,2006
gpcp_1dd_v1.2_p1d.200610_monthlyAverage.npy,-99999.,10,mm/day,2006
gpcp_1dd_v1.2_p1d.200611_monthlyAverage.npy,-99999.,11,mm/day,2006
gpcp_1dd_v1.2_p1d.200612_monthlyAverage.npy,-99999.,12,mm/day,2006
gpcp_1dd_v1.2_p1d.200701_monthlyAverage.npy,-99999.,01,mm/day,2007
gpcp_1dd_v1.2_p1d.200702_monthlyAverage.npy,-99999.,02,mm/day,2007
gpcp_1dd_v1.2_p1d.200703_monthlyAverage.npy,-99999.,03,mm/day,2007
gpcp_1dd_v1.2_p1d.200704_monthlyAverage.npy,-99999.,04,mm/day,2007
gpcp_1dd_v1.2_p1d.200705_monthlyAverage.npy,-99999.,05,mm/day,2007
gpcp_1dd_v1.2_p1d.200706_monthlyAverage.npy,-99999.,06,mm/day,2007
gpcp_1dd_v1.2_p1d.200707_monthlyAverage.npy,-99999.,07,mm/day,2007
gpcp_1dd_v1.2_p1d.200708_monthlyAverage.npy,-99999.,08,mm/day,2007
gpcp_1dd_v1.2_p1d.200709_monthlyAverage.npy,-99999.,09,mm/day,2007
gpcp_1dd_v1.2_p1d.200710_monthlyAverage.npy,-99999.,10,mm/day,2007
gpcp_1dd_v1.2_p1d.200711_monthlyAverage.npy,-99999.,11,mm/day,2007
gpcp_1dd_v1.2_p1d.200712_monthlyAverage.npy,-99999.,12,mm/day,2007
gpcp_1dd_v1.2_p1d.200801_monthlyAverage.npy,-99999.,01,mm/day,2008
gpcp_1dd_v1.2_p1d.200802_monthlyAverage.npy,-99999.,02,mm/day,2008
gpcp_1dd_v1.2_p1d.200803_monthlyAverage.npy,-99999.,03,mm/day,2008
gpcp_1dd_v1.2_p1d.200804_monthlyAverage.npy,-99999.,04,mm/day,2008
gpcp_1dd_v1.2_p1d.200805_monthlyAverage.npy,-99999.,05,mm/day,2008
gpcp_1dd_v1.2_p1d.200806_monthlyAverage.npy,-99999.,06,mm/day,2008
gpcp_1dd_v1.2_p1d.200807_monthlyAverage.npy,-99999.,07,mm/day,2008
gpcp_1dd_v1.2_p1d.200808_monthlyAverage.npy,-99999.,08,mm/day,2008
gpcp_1dd_v1.2_p1d.200809_monthlyAverage.npy,-99999.,09,mm/day,2008
gpcp_1dd_v1.2_p1d.200810_monthlyAverage.npy,-99999.,10,mm/day,2008
gpcp_1dd_v1.2_p1d.200811_monthlyAverage.npy,-99999.,11,mm/day,2008
gpcp_1dd_v1.2_p1d.200812_monthlyAverage.npy,-99999.,12,mm/day,2008
gpcp_1dd_v1.2_p1d.200901_monthlyAverage.npy,-99999.,01,mm/day,2009
gpcp_1dd_v1.2_p1d.200902_monthlyAverage.npy,-99999.,02,mm/day,2009
gpcp_1dd_v1.2_p1d.200903_monthlyAverage.npy,-99999.,03,mm/day,2009
